,Peak_INa,Tau_inact,Voltage
0,-83.80615234375,15.96757866404925,-120.0
1,-39.5556640625,6.278612926343831,-110.0
2,-27.3486328125,0.09949924172835566,-100.0
3,-23.6865234375,0.020163494231231645,-90.0
4,-20.0244140625,6.279900714566677,-80.0
5,-44.13330078125,8.092897080633573,-70.0
6,-219.30419921875,21.96326006768435,-60.0
7,-1273.076171875,9.822822680169418,-50.0
8,-2528.87451171875,4.914493157061717,-40.0
9,-2900.57861328125,2.9462799009803167,-30.0
10,-2565.1904296875,1.9595949631605247,-20.0
11,-2328.984375,1.5451552511442175,-10.0
12,-1848.6376953125,1.1937630736663143,0.0
13,-1385.68603515625,0.9615056620485414,10.0
14,-927.31201171875,0.8262948905735167,20.0
